	X090319_0121168	X090328_0121177	X090333_0121182	X090343_0121192	X090347_0121196	X090350_0121199	X090352_0121201	X090364_0121213	X090318_0121167	X090320_0121169	X090324_0121173	X090327_0121176	X090332_0121181	X090342_0121191	X090346_0121195	X090349_0121198	X090351_0121200	X090363_0121212	PERMUTED
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	-0.0047666086077361725	0.11768473036243987	0.15030560579265512	-0.03344592709688361	-0.01676108386175726	0.030824330468230743	-0.04903718676494474	0.13751808262267762	-0.11747634436342343	-0.17590256902261425	0.0623984862130612	0.07388949228098753	0.17049639900320354	-0.0051779047392837285	-0.19119924012240455	0.05957734336221965	-0.08465057100728939	-0.04321898058383225	0
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	-0.17017010544032943	0.0774543115393378	0.23484790396503757	0.03925078087951936	-0.12921547587357723	0.019465480851365624	0.06899892014050057	0.18525695351730165	0.27613462110654513	-0.10265067784160742	0.20836889754679358	0.3289198318444815	-0.2728482889187943	0.07417144121568539	-0.32567941302045417	0.2033980592694306	-0.00333075695844387	-0.22579145577001705	0
GO_MYELOID_LEUKOCYTE_MIGRATION	-0.03325571141314451	0.1048614374555857	0.08593111076400715	0.025887295385573536	0.01195245154101321	-0.03444084201197868	-0.02465439851853274	-0.0848860818898086	0.0898139222152029	-0.000770939393213238	0.032688931074795174	0.1170609716692331	0.17559246341518936	0.10422589997869192	-0.136273992761273	0.05888152016662562	-0.09288607504402284	-0.036754742280120156	0
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	-0.03289396742764311	0.13214682236042993	0.40663319148883187	-0.27511253765864935	-0.08469156837979076	-0.02335235265110619	0.1768899096226096	-0.11187040956744991	-0.24102415349549788	0.027838929837780274	0.3226136965457466	0.33495505895689826	0.13228695759474712	-0.08138826429003862	-0.306874127223568	-0.2434656526980406	0.12178602364045842	0.24606922084338606	0
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	-0.026688384577635144	-0.2948806575803492	0.4739674591935473	-0.16849081372810185	0.07828083949297651	0.20010384985604682	0.03251111633783804	-0.18298757250444464	0.040322242685033705	0.17028091769226086	-0.0426957435628382	0.18011035207568468	0.38493932877644643	0.18470336339361415	-0.24976227543453045	0.133936560166302	0.10447543094377529	0.08041880613662117	0
GO_RESPONSE_TO_INTERLEUKIN_4	-0.35074727730432137	0.32625613027941053	-0.21152523452778618	-0.14410461543286002	-0.07928921552762264	-0.38953436633212873	-0.07692758526574328	-0.1476767087334388	0.14074669246055838	0.39672054706214327	0.2700969958284455	0.15162881010133514	0.0992083389093651	0.05956564735533049	0.14589599216187427	-0.24552384338901984	-0.26324662318337205	-0.1162815449905675	0
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	-0.1547631929672894	0.014071288005292393	0.07293410247997364	-0.051531388531239314	0.056135284171252214	-0.054417064347110064	0.315203917180473	0.24495120657649733	0.12090160262469893	-0.17504835806494137	0.03311408000510613	0.05727690614614972	-0.18834870177308846	-0.08957666719044033	-0.16075094087284636	-0.09933351996456954	-0.27584081222669005	0.26236643791482284	0
GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	0.03359469984213423	0.024819612846743083	0.11822906861276	0.020208967227662272	-0.12302570672068061	0.07454682318997113	0.05034125508404269	0.009743752300932579	-0.13375369289512226	-0.050095028298683605	-0.026589784838687847	0.08384466471415582	0.16692400502149682	0.013318608236481677	-0.03847569453418781	0.04200937883336811	-0.04352050778047857	-0.03344841783506891	0
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	-0.07202333809503046	0.2084439513383328	0.12633240139077817	0.06492255464285673	0.037039492121925754	0.1102005186096224	-0.17866356680205925	0.07119346654824478	-0.20247908044234997	-0.10393489047855348	0.036442901754920154	-0.054431721747575185	-0.023986520148397195	0.030019467397601085	-0.09906717074849217	0.14888589588074852	-0.019000624354502033	-0.12126304222318904	0
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION	-0.04440211832423763	-0.05060968510309671	0.19951342707891775	0.1256050267024745	-0.3468746568086165	-0.14057774522750294	-0.0497864084114816	0.056957692654268366	0.2955599358077463	-0.3107855338928251	-0.12385681330246251	0.036944517648924174	0.06553087484118306	-0.23481832581656495	-0.39582766008920084	0.2883298588032384	-0.3740009437400936	0.24245482581130937	0
